"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"イクセロンパッチ１３．５ｍｇ","","","","","","",""
"イクセロンパッチ１３．５ｍｇ","","","","","","",""
"イグラチモド錠２５ｍｇ「あゆみ」","E15","","","","","",""
"イーケプラドライシロップ５０％","C10","","","","","",""
"ｲｺｻﾍﾟﾝﾄ酸ｴﾁﾙｶﾌﾟｾﾙ300mg｢ｻﾜｲ｣","C19","","","","","",""
"ｲｺｻﾍﾟﾝﾄ酸ｴﾁﾙ粒状ｶﾌﾟｾﾙ900mg｢ｻﾜｲ｣","E25","","","","","",""
"ｲｺｻﾍﾟﾝﾄ酸ｴﾁﾙ粒状ｶﾌﾟｾﾙ600mg｢ｻﾜｲ｣","E25","","","","","",""
"イソジンガーグル液７％","C5","","","","","",""
"イソジンシュガーパスタ軟膏","G8","","","","","",""
"ｲｿｿﾙﾋﾞﾄﾞ内用液70%分包40mL｢CEO｣","G2","","","","","",""
"イソバイドシロップ７０％分包３０ｍＬ","A5","","","","","",""
"一硝酸イソソルビド錠２０ｍｇ「サワイ」","C19","","","","","",""
"ｲﾁｼﾞｸ浣腸30(999999999985)","","","","","","",""
"イドメシンコーワゾル１％","C1","","","","","",""
"イトラコナゾール内用液１％「ＶＴＲＳ」","D2","","","","","",""
"イナビル吸入粉末剤２０ｍｇ","G6","","","","","",""
"イニシンク配合錠","O","","","","","",""
"イノソリッド配合経腸用半固形剤","L2","","","","","",""
"イノラス配合経腸用液","L2","","","","","",""
"ｲﾌｪﾝﾌﾟﾛｼﾞﾙ酒石酸塩錠20mg｢ｻﾜｲ｣","C19","P","","","","",""
"ｲﾌｪﾝﾌﾟﾛｼﾞﾙ酒石酸塩錠10mg｢あすか｣","C19","","","","","",""
"イミダプリル塩酸塩錠１０ｍｇ「サワイ」","C19","","","","","",""
"イミダプリル塩酸塩錠５ｍｇ「サワイ」","C19","","","","","",""
"ｲﾐﾀﾞﾌｪﾅｼﾝOD錠0.1mg｢ｻﾜｲ｣","C19","","","","","",""
"イミダプリル塩酸塩錠２．５ｍｇ「テバ」","C19","","","","","",""
"イリボー錠２．５μｇ","","","","","","",""
"イリボー錠５μｇ","E15","","","","","",""
"イリボーＯＤ錠２．５μｇ","E15","","","","","",""
"イルアミクス配合錠ＨＤ「ＤＳＰＢ」","E15","","","","","",""
"イルアミクス配合錠ＬＤ「ＤＳＰＢ」","E15","","","","","",""
"イルベサルタン錠１００ｍｇ「ＤＳＰＢ」","C19","","","","","",""
"イルベサルタン錠５０ｍｇ「ＤＳＰＢ」","C19","","","","","",""
"インクレミンシロップ５％","D3","","","","","",""
"ｲﾝｽﾘﾝ ｸﾞﾗﾙｷﾞﾝBS注ｶｰﾄ｢ﾘﾘｰ｣","F","","","","","",""
"ｲﾝｽﾘﾝ ｱｽﾊﾟﾙﾄBS注ｿﾛｽﾀｰ NR｢ｻﾉﾌｨ｣","F","","","","","",""
"ｲﾝｽﾘﾝ ｸﾞﾗﾙｷﾞﾝBS注ﾐﾘｵﾍﾟﾝ｢ﾘﾘｰ｣","F","","","","","",""
"ｲﾝｽﾘﾝ ﾘｽﾌﾟﾛBS注ｿﾛｽﾀｰ HU｢ｻﾉﾌｨ｣","F","","","","","",""
"ウインタミン細粒（１０％）","E3","","","","","",""
"ウブレチド錠５ｍｇ","E2","","","","","",""
"ウリアデック錠２０ｍｇ","C19","","","","","",""
"ウリアデック錠４０ｍｇ","C19","","","","","",""
"ｳﾙｿﾃﾞｵｷｼｺｰﾙ酸錠100mg｢ﾄｰﾜ｣","C19","P","","","","",""
"ウルソ顆粒５％","E3","","","","","",""
"ｳﾙｿﾃﾞｵｷｼｺｰﾙ酸錠50mg｢ﾄｰﾜ｣","C19","","","","","",""
"ウルティブロ吸入用カプセル","E9","","","","","",""
"ウレパールクリーム１０％","C3","A2","","","","",""
"ウレパールローション１０％","G10","","","","","",""
"ウロカルン錠２２５ｍｇ","C19","","","","","",""
"エイベリス点眼液０．００２％","F","","","","","",""
"ＡＺ点眼液０．０２％","E10","","","","","",""
"エキザルベ","C2","N4","","","","",""
"エキセメスタン錠２５ｍｇ「ＮＫ」","C19","","","","","",""
"エクア錠５０ｍｇ","C19","","","","","",""
"エクサシン注射液４００","","","","","","",""
"エクセグラン散２０％","G10","","","","","",""
"エクフィナ錠５０ｍｇ","E15","","","","","",""
"エクメット配合錠ＨＤ","O","","","","","",""
"エクラープラスター２０μｇ／ｃｍ２","C6","G5","","","","",""
"エクラーローション０．３％","E4","A2","","","","",""
"エクロックゲル５％","G10","","","","","",""
"ｴｺｶﾞｰｾﾞ(300枚入)(999999999981)","","","","","","",""
"ｴｽｼﾀﾛﾌﾟﾗﾑOD錠10mg｢DSEP｣","E15","","","","","",""
"エスゾピクロン錠２ｍｇ「ＤＳＥＰ」","C21","","","","","",""
"エスゾピクロン錠３ｍｇ「ＤＳＥＰ」","C21","","","","","",""
"エスゾピクロン錠１ｍｇ「ＤＳＥＰ」","C21","P","","","","",""
"エスタゾラム錠１ｍｇ「アメル」","E19","","","","","",""
"エスタゾラム錠２ｍｇ「アメル」","E19","","","","","",""
"エストリール腟錠０．５ｍｇ","C7","","","","","",""
"エストリール錠１ｍｇ＊（持田）","C19","","","","","",""
"ＳＰトローチ０．２５ｍｇ「明治」","C5","G2","","","","",""
